v,vw,o,c,h,l,t,n
47268.435344,714.5055,714.52,714.325,714.65,714.31,1789138680000,2321
41464.074473,714.5732,714.32,714.49,714.6495,714.171,1789138740000,2189
70951.152353,714.5396,714.4493,714.87,714.9,714.24,1789138800000,2455
86022.528803,714.7273,714.8686,714.7525,714.88,714.54,1789138860000,2359
22409.082194,714.681,714.75,714.7881,714.82,714.55,1789138920000,2029
29770.104954,714.8229,714.86,715.04,715.04,714.59,1789138980000,2124
42516.699404,714.97,715.01,715.2701,715.28,714.76,1789139040000,2297
94643.642002,715.4906,715.2777,715.6,715.665,715.22,1789139100000,2731
116852.04665,715.8254,715.595,715.895,715.98,715.5938,1789139160000,3084
71338.318681,715.7976,715.895,715.791,715.93,715.63,1789139220000,2539
31122.788236,715.7225,715.79,715.63,715.79,715.59,1789139280000,2191
40897.679785,715.6445,715.5801,715.69,715.76,715.48,1789139340000,2274
39044.25992,715.688,715.705,715.68,715.8,715.565,1789139400000,2540
25966.005053,715.4456,715.67,715.44,715.67,715.35,1789139460000,2069
66672.836418,715.3776,715.44,715.22,715.49,715.2,1789139520000,2424
55806.457334,714.8827,715.22,714.91,715.29,714.6,1789139580000,2597
22505.647272,715.0039,714.975,715.08,715.11,714.89,1789139640000,1823
33808.354595,715.5406,715.08,715.88,715.88,715.08,1789139700000,2109
100127.617252,716.0433,715.855,716.25,716.29,715.76,1789139760000,2991
131335.864545,716.1525,716.21,716.11,716.26,716.01,1789139820000,2672
26019.792035,716.1739,716.13,716.2,716.27,716.02,1789139880000,1989
47451.482394,716.1228,716.21,716.12,716.27,716.04,1789139940000,1985
30164.126849,716.1709,716.14,716.155,716.221,716.08,1789140000000,2014
45900.69378,716.2366,716.105,716.32,716.39,716.08,1789140060000,2284
23930.551167,716.3408,716.29,716.36,716.46,716.16,1789140120000,1932
23821.711503,716.2921,716.35,716.22,716.42,716.155,1789140180000,1899
35128.571091,716.469,716.23,716.68,716.73,716.215,1789140240000,2162
